Causas (lista reducida);Sexo;Nacionalidad;Total
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Bélgica;5
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Bulgaría;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Dinamarca;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;España;3.169
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Finlandia;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Francia;10
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Irlanda;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Italia;13
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Países Bajos;6
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Polonia;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Portugal;5
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Reino Unido;29
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Rumanía;8
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Suecia;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Resto de la UE-27;4
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Noruega;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Rusia;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Suiza;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ucrania;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Resto de EUROPA;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;PAÍSES DE ÁFRICA;25
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Argelia;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Marruecos;14
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Resto de ÁFRICA;10
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;PAÍSES DE AMÉRICA;20
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Argentina;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Bolivia;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Brasil;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Colombia;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cuba;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ecuador;7
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Estados Unidos de América;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Perú;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Uruguay;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Resto de AMÉRICA;4
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;PAÍSES DE ASIA;4
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;China;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Resto de ASIA;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Resto de PAÍSES;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;No consta;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Total de defunciones;3.707
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;PAÍSES DE EUROPA;3.674
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Países de la UE-27;3.669
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Alemania;11
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Austria;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Bélgica;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Bulgaría;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Dinamarca;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;España;3.585
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Finlandia;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Francia;8
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Irlanda;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Italia;7
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Países Bajos;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Polonia;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Portugal;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Reino Unido;28
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Rumanía;7
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Suecia;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Resto de la UE-27;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Noruega;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Rusia;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Suiza;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ucrania;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Resto de EUROPA;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;PAÍSES DE ÁFRICA;16
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Argelia;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Marruecos;11
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Resto de ÁFRICA;5
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;PAÍSES DE AMÉRICA;15
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Argentina;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Bolivia;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Brasil;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Colombia;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cuba;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ecuador;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Estados Unidos de América;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Perú;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Uruguay;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Resto de AMÉRICA;6
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;PAÍSES DE ASIA;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;China;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Resto de ASIA;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Resto de PAÍSES;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;No consta;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Total de defunciones;946
001 Enfermedades infecciosas intestinales;Ambos sexos;PAÍSES DE EUROPA;942
001 Enfermedades infecciosas intestinales;Ambos sexos;Países de la UE-27;941
001 Enfermedades infecciosas intestinales;Ambos sexos;Alemania;1
